Name,Address,City,State,Zip,Lat,Lon,DIV,BAT,ENGINE,RESCUE,PEAK RES,TRUCK,BAT CH,DEP CH,OTHER,OTHER,OTHER,OTHER
STA 01,1901 IRVING BLVD,Dallas,TX,75207,32.794033,-96.826488,2,9,EN01,,,,,807,825,525,,
STA 02,4211 NORTHAVEN RD,Dallas,TX,75229,32.902224,-96.838041,1,7,EN02,,,,,,782,,,
STA 03,500 N MALCOLM X BLVD,Dallas,TX,75226,32.786639,-96.783103,2,1,EN03,RE03,,TR03,,,HM03,SU03,,
STA 04,816 S AKARD ST,Dallas,TX,75201,32.774454,-96.796679,2,1,EN04,RE04,,TR04,BC01,,,,,
STA 05,2039 N St Augustine Dr,DALLAS,TX,75217,32.747404,-96.656907,2,8,EN05,RE05,RE75,,,,,,,
STA 06,2301 PENNSYLVANIA AVE,Dallas,TX,75215,32.763080,-96.772021,2,1,EN06,RE06,,,,,,,,
STA 07,6010 DAVENPORT RD,Dallas,TX,75248,32.976196,-96.803611,1,2,EN07,,RE71,,BC02,,BU07,,,
STA 08,1904 N Garrett Ave,DALLAS,TX,75206,32.809802,-96.776434,1,3,EN08,RE08,,,BC03,,,,,
STA 09,2002 COOL MIST LN,Dallas,TX,75253,32.679359,-96.610018,2,8,EN09,,,,,,,,,
STA 10,4451 Frankford Rd,DALLAS,TX,75287,32.997561,-96.833343,1,2,EN10,RE10,,TR10,,,,,,
STA 11,3828 Cedar Springs Rd,DALLAS,TX,75219,32.809755,-96.809603,1,3,EN11,RE11,,TR11,,,,,,
STA 12,7520 W WHEATLAND RD,Dallas,TX,75249,32.642603,-96.953416,2,6,EN12,,,,,,,,,
STA 13,6902 FRANKFORD RD,Dallas,TX,75252,32.997713,-96.784454,1,2,EN13,,,,,,,,,
STA 14,1005 W 12th St,DALLAS,TX,75208,32.741326,-96.839458,2,6,EN14,,,,BC06,,,,,
STA 15,111 E 8th St,DALLAS,TX,75203,32.748088,-96.822718,2,6,EN15,RE15,,,,,,,,
STA 16,2616 Chalk Hill Rd,DALLAS,TX,75212,32.775218,-96.904627,2,9,EN16,,,,,,,,,
STA 17,6045 Belmont Ave,DALLAS,TX,75206,32.817337,-96.762729,1,3,EN17,,,TR17,,,,,,
STA 18,660 N GRIFFIN ST,Dallas,TX,75202,32.783566,-96.803980,2,1,EN18,RE18,RE70,,,,AT18,820,821,829
STA 19,5600 East Grand Ave,DALLAS,TX,75223,32.793735,-96.747375,1,3,EN19,RE19,,TR19,,,US19,,,
STA 20,12727 MONTFORT DR,Dallas,TX,75230,32.921864,-96.811255,1,2,EN20,RE20,,TR20,,,,,,
STA 21,3210 LOVE FIELD DR,Dallas,TX,75235,32.850958,-96.859310,1,7,,,,,,,RD01,RD02,RD03,MC01
STA 22,12200 COIT RD,Dallas,TX,75251,32.914999,-96.769159,1,2,EN22,RE22,,,,,BU22,,,
STA 23,1660 S CORINTH ST RD,Dallas,TX,75203,32.726506,-96.799151,2,6,EN23,RE23,,TR23,,,,,,
STA 24,2426 ELSIE FAYE HEGGINS ST,Dallas,TX,75215,32.752344,-96.757566,2,1,EN24,RE24,,TR24,,,,,,
STA 25,2112 56TH ST,Dallas,TX,75241,32.684129,-96.788083,2,5,EN25,RE25,,TR25,BC05,,,,,
STA 26,3303 SHELDON AVE,Dallas,TX,75211,32.744059,-96.874251,2,9,EN26,RE26,RE76,,,,,,,
STA 27,8401 Douglas Ave,DALLAS,TX,75225,32.864808,-96.808632,1,7,EN27,,,,,,,,,
STA 28,8701 GREENVILLE AVE,Dallas,TX,75243,32.895262,-96.752097,1,4,EN28,RE28,,,BC04,,,896,897,
STA 29,9830 Shadow Way,DALLAS,TX,75243,32.916798,-96.717096,1,4,EN29,RE29,,,,,DE29,,,
STA 30,11381 ZODIAC LN,Dallas,TX,75229,32.894692,-96.882891,1,7,EN30,RE30,,,,,BR30,,,
STA 31,9365 GARLAND RD,Dallas,TX,75218,32.832374,-96.704022,1,4,EN31,,,,,,BO31,,,
STA 32,4262 N JIM MILLER RD,Dallas,TX,75227,32.774274,-96.700004,2,8,EN32,RE32,RE77,,,,783,,,
STA 33,754 W Illinois Ave,DALLAS,TX,75224,32.720318,-96.835981,2,6,EN33,RE33,,TR33,,,781,US33,,
STA 34,1234 CARBONA DR,Dallas,TX,75217,32.733095,-96.691615,2,8,EN34,RE34,,TR34,BC08,,SW34,,,
STA 35,3839 WALNUT HILL LN,Dallas,TX,75229,32.880445,-96.852047,1,7,EN35,,,,BC07,,BO35,,,
STA 36,3241 N HAMPTON RD,Dallas,TX,75212,32.781953,-96.856594,2,9,EN36,,,TR36,,,,,,
STA 37,6780 GREENVILLE AVE,Dallas,TX,75231,32.868209,-96.766578,1,4,EN37,RE37,,TR37,,806,,,,
STA 38,2839 WILHURT AVE,Dallas,TX,75216,32.707917,-96.775250,2,5,EN38,RE38,RE72,,,,TL38,,,
STA 39,2850 RUIDOSA AVE,Dallas,TX,75228,32.845461,-96.667000,1,4,EN39,RE39,,TR39,,,MAR1,,,
STA 40,2440 KIRNWOOD DR,Dallas,TX,75237,32.654866,-96.857855,2,5,EN40,RE40,,TR40,,,BR40,,,
STA 41,5920 ROYAL LN,Dallas,TX,75230,32.894775,-96.806444,1,2,EN41,,,TR41,,,,,,
STA 42,3333 W MOCKINGBIRD LN,Dallas,TX,75235,32.834958,-96.836196,1,7,EN42,,RE74,,,,,,,
STA 43,2844 Lombardy Ln,DALLAS,TX,75220,32.866418,-96.878412,1,7,EN43,RE43,,TR43,,,,,,
STA 44,2025 LAGOW ST,Dallas,TX,75210,32.776392,-96.751813,1,3,EN44,RE44,,,,,790,FA44,,
STA 45,716 W Commerce St,DALLAS,TX,75208,32.772986,-96.834777,2,1,EN45,RE45,,,,,BU45,,,
STA 46,331 E CAMP WISDOM RD,Dallas,TX,75241,32.662363,-96.818357,2,5,EN46,RE46,,,,,,,,
STA 47,7161 ENVOY CT,Dallas,TX,75247,32.815127,-96.870277,2,9,EN47,RE47,,,BC09,,,,,
STA 48,10480 E Northwest Hwy,DALLAS,TX,75238,32.864199,-96.704336,1,4,EN48,,RE73,,,,BO48,,,
STA 49,4901 S HAMPTON RD,Dallas,TX,75232,32.685351,-96.857110,2,5,EN49,RE49,,,,,DE49,RD49,,
STA 50,841 S WALTON WALKER SERV SB,Dallas,TX,75211,32.737258,-96.920345,2,9,EN50,RE50,,TR50,,,BO50,TL50,,
STA 51,200 S ST AUGUSTINE DR,Dallas,TX,75217,32.710409,-96.657061,2,8,EN51,RE51,,,,,BU51,,,
STA 52,2504 S COCKRELL HILL RD,Dallas,TX,75211,32.718252,-96.891374,2,6,EN52,RE52,,,,,BU52,BR52,,
STA 53,1407 JOHN WEST RD,Dallas,TX,75228,32.807122,-96.693608,2,8,EN53,RE53,,TR53,,,,,,
STA 54,6238 BONNIE VIEW RD,Dallas,TX,75241,32.669654,-96.760765,2,5,EN54,RE54,,,,,BO54,BR54,,
STA 55,6600 TRAMMEL DR,Dallas,TX,75214,32.845846,-96.746651,1,3,EN55,RE55,,,,,,,,
STA 56,7040 BELT LINE RD,Dallas,TX,75254,32.949956,-96.782486,1,2,EN56,RE56,,TR56,,,BO56,,,
STA 57,10801 AUDELIA RD,Dallas,TX,75243,32.896352,-96.717883,1,4,EN57,RE57,,TR57,,,,,,
STA 58,3015 CHAPEL OAKS DR,Dallas,TX,75019,32.930886,-96.985106,1,4,EN58,,,,,,,,,
